# galaxy flux_bulge_imfit mtot_bulge_imfit flux_disc_imfit mtot_disc_imfit
m81 "" "" "" ""
circinus "" "" "" ""
ic1459 3.0556e+04 6.0431 "" ""
ic2560 "" "" "" ""
ic4296 1.7322e+04 6.6593 "" ""
m104 "" "" "" ""
m105 4.5210e+04 5.6178 "" ""
m106 "" "" "" ""
m31 "" "" "" ""
m32 "" "" "" ""
m49 1.1117e+05 4.6409 "" ""
m59 2.3969e+04 6.3067 "" ""
m60 8.1607e+04 4.9765 "" ""
m64 "" "" "" ""
m77 "" "" "" ""
m84 6.6145e+04 5.2046 "" ""
m87 7.1897e+04 5.1141 "" ""
m89 "" "" "" ""
m94 "" "" "" ""
m96 "" "" "" ""
n0253 "" "" "" ""
n0524 "" "" "" ""
n0821 6.1646e+03 7.7811 "" ""
n1023 8.0903e+03 7.4859 1.9638e+04 6.5231
n1300 "" "" "" ""
n1316 "" "" "" ""
n1332 "" "" "" ""
n1374 6.0233e+03 7.8063 "" ""
n2273 "" "" "" ""
n2549 2.4928e+03 8.7642 1.8908e+03 9.0642
n2778 "" "" "" ""
n2787 "" "" "" ""
n2974 3.5223e+03 8.3888 3.6780e+03 8.3418
n3079 3.5456e+03 8.3816 5.6481e+03 7.8761
n3091 9.9246e+03 7.2641 "" ""
n3115 "" "" "" ""
n3227 "" "" "" ""
n3245 1.6844e+03 9.1897 4.5315e+03 8.1152
n3377 1.0406e+04 7.2126 1.4615e+03 9.3439
n3384 3.9131e+03 8.2746 1.1881e+04 7.0687
n3393 5.2788e+02 10.4495 1.5340e+03 9.2913
n3414 "" "" "" ""
n3489 1.9249e+03 9.0448 6.9886e+03 7.6449
n3585 "" "" "" ""
n3607 2.2063e+04 6.3967 1.3291e+03 9.4469
n3608 1.1032e+04 7.1492 "" ""
n3842exp "" "" "" ""
n3998 "" "" "" ""
n4026 3.2936e+03 8.4617 4.4770e+03 8.1284
n4151 "" "" "" ""
n4261 1.6282e+04 6.7266 6.8403e+02 10.1682
n4291 5.4880e+03 7.9073 "" ""
n4342 9.5032e+02 9.8112 1.2581e+03 9.5066
n4388 "" "" "" ""
n4459 "" "" "" ""
n4473 1.2325e+04 7.0289 2.3588e+03 8.8241
n4486a "" "" "" ""
n4564 "" "" "" ""
n4596 "" "" "" ""
n4697 4.0984e+04 5.7243 2.5760e+03 8.7285
n4889 8.4992e+03 7.4324 "" ""
n4945 1.1906e+04 7.0665 1.7899e+05 4.1238
n5077 7.4805e+03 7.5710 "" ""
n5128 "" "" "" ""
n5576 1.0668e+04 7.1856 "" ""
n5813 "" "" "" ""
n5845 1.8510e+03 9.0873 2.4138e+02 11.2991
n5846 2.7861e+04 6.1434 "" ""
n6251 3.9405e+03 8.2670 "" ""
n7052 4.6518e+03 8.0868 "" ""
n7582 "" "" "" ""
n7619 "" "" "" ""
n7768 6.4929e+03 7.7248 "" ""
ugc03789 "" "" "" ""
