# galaxy n_imfit_gaussian mue_imfit_gaussian re_imfit_gaussian n_imfit_moffat mue_imfit_moffat re_imfit_moffat 
m81 "" "" "" "" "" "" 
circinus "" "" "" "" "" "" 
ic1459 7.00643 18.500318372 65.1323 8.28677 18.7195781537 71.5671 
ic2560 "" "" "" 0.463307 15.9558667928 4.57591 
ic4296 5.85252 19.1746049073 61.6021 6.63036 19.3502980557 67.3166 
m104 "" "" "" "" "" "" 
m105 6.26497 17.9461481806 57.7566 6.99821 18.0354592061 60.1554 
m106 "" "" "" "" "" "" 
m31 "" "" "" "" "" "" 
m32 "" "" "" "" "" "" 
m49 5.47762 18.4637087148 124.63 5.52573 18.4571102158 124.185 
m59 7.88446 18.8041463182 70.3128 8.94163 19.3419824758 96.6984 
m60 5.62161 18.013710167 86.6947 5.86209 18.0447667392 87.7635 
m64 "" "" "" "" "" "" 
m77 "" "" "" "" "" "" 
m84 7.96447 19.5845690305 142.621 8.35649 19.6694894094 148.627 
m87 4.29945 17.6731910971 72.63 4.3182 17.6606218827 72.2002 
m89 "" "" "" "" "" "" 
m94 "" "" "" "" "" "" 
m96 "" "" "" 1.95336 14.2397770871 6.7985 
n0253 "" "" "" "" "" "" 
n0524 "" "" "" "" "" "" 
n0821 3.93843 17.6917687383 29.5232 2.46312 17.5929493564 27.6292 
n1023 4.2393 14.4892425472 6.30651 2.33924 14.03379663 5.42738 
n1300 "" "" "" "" "" "" 
n1316 "" "" "" "" "" "" 
n1332 "" "" "" "" "" "" 
n1374 3.46575 17.6690720102 21.2157 3.65903 17.6005812092 20.578 
n2273 "" "" "" "" "" "" 
n2549 20.0 19.6491553185 69.8832 2.06788 14.0947440658 4.55555 
n2778 "" "" "" "" "" "" 
n2787 "" "" "" "" "" "" 
n2974 1.44781 15.2967126708 8.67663 1.28025 15.2929882839 8.64473 
n3079 "" "" "" 1.29817 12.3870377881 3.74384 
n3091 6.03 19.1697276373 54.682 6.68917 19.2131342075 54.8582 
n3115 "" "" "" "" "" "" 
n3227 "" "" "" "" "" "" 
n3245 20.0 12.25585 1.33744 1.77753 12.8703978616 1.56926 
n3377 3.57425 19.0109401589 58.7934 3.71472 19.0038234461 58.7251 
n3384 2.85563 11.8720292804 1.45106 1.33863 13.2221175545 3.15298 
n3393 0.832022 12.25585 0.635074 1.88961 13.0645412106 0.9411 
n3414 "" "" "" "" "" "" 
n3489 2.71502 11.5032750108 1.13946 2.06817 12.2617452373 1.37661 
n3585 "" "" "" "" "" "" 
n3607 7.22493 18.8053354675 65.607 5.27799 18.2232920441 49.0163 
n3608 6.86883 19.2490231625 53.9584 7.0313 19.1087361956 50.6819 
n3842exp "" "" "" "" "" "" 
n3998 "" "" "" "" "" "" 
n4026 "" "" "" 1.32654 14.6825123274 6.43378 
n4151 "" "" "" "" "" "" 
n4261 4.82425 17.9689550645 40.0782 4.4473 18.0836091699 41.2403 
n4291 6.23639 17.732324473 18.9655 7.71234 17.5101686107 17.0383 
n4342 7.57872 12.25585 1.58674 3.9734 12.2615181984 1.10319 
n4388 "" "" "" "" "" "" 
n4459 2.75521 17.0537518662 26.4702 3.79643 16.9929690421 25.0974 
n4473 6.79642 17.6873654233 41.0422 3.04469 17.6623855943 40.679 
n4486a "" "" "" "" "" "" 
n4564 "" "" "" "" "" "" 
n4596 "" "" "" "" "" "" 
n4697 4.76138 18.8374695171 97.6842 4.97799 18.8701562199 99.2141 
n4889 7.08723 20.2039970008 81.9123 7.80158 20.3024598227 85.2424 
n4945 0.824937 14.808698938 13.0456 0.824185 14.8273472302 13.2497 
n5077 5.90732 17.9612100117 26.3728 6.83664 17.8536069164 24.9685 
n5128 "" "" "" "" "" "" 
n5576 6.88162 18.4198898476 37.8818 8.31456 18.424804948 37.5126 
n5813 "" "" "" "" "" "" 
n5845 10.1351 13.6916436337 2.68535 2.38227 13.5792946327 2.30999 
n5846 4.84691 18.7123825373 66.6319 5.17173 18.8000147802 69.59 
n6251 6.23268 19.3239049634 32.9661 7.10944 19.2826507184 32.151 
n7052 4.07952 18.2213933902 31.3429 4.00638 18.1150557736 29.5694 
n7582 "" "" "" "" "" "" 
n7619 6.624 19.5672472199 65.4539 8.19246 20.1131794494 85.8416 
n7768 12.1818 23.4942345599 300.0 14.5 23.6149842699 300.0 
ugc03789 "" "" "" "" "" "" 
