 147 Galaxy  m_bulge  M/L    M_bulge     M_bh        Flag star
0022-0058  18.57   0.44  0.177E+10  0.501E+06         
0024-1038  18.30   1.07  0.531E+10  0.158E+07         
0117-1001  17.67   0.70  0.122E+11  0.631E+06   >     
0120-0849  18.48   0.94  0.593E+10  0.200E+07         
0158-0052  16.84   0.75  0.835E+10  0.794E+06   >     
0228-0901  19.25   0.75  0.726E+09  0.251E+06         
0233-0748  15.22   1.17  0.806E+10  0.100E+07         
0240+0103  18.93   0.52  0.580E+10  0.631E+06   >     
0304+0028  15.99   0.75  0.534E+10  0.126E+07         
0325+0034  18.83   0.75  0.224E+10  0.100E+07         
0327-0756  18.22   0.58  0.729E+10  0.501E+06         
0347+0057  18.23   1.16  0.204E+11  0.398E+08        *
0731+3926  17.66   0.92  0.167E+10  0.126E+07         
0735+4235  17.11   0.82  0.820E+10  0.158E+07         
0744+2430  18.89   0.87  0.330E+10  0.158E+07         
0748+4540  18.67   0.83  0.592E+10  0.200E+07         
0748+4052  17.41   0.54  0.110E+11  0.501E+06         
0748+4644  17.68   0.86  0.475E+10  0.200E+07   >     
0748+1821  17.88   0.79  0.261E+10  0.126E+07         
0750+3157  17.73   1.15  0.256E+10  0.200E+07         
0802+4846  16.45   1.08  0.894E+10  0.631E+06         
0803+2631  18.22   0.71  0.709E+09  0.158E+07         
0806+2419  17.32   0.82  0.150E+10  0.100E+07         
0809+4416  17.06   0.71  0.283E+10  0.794E+06         
0815+2506  19.45   0.73  0.595E+09  0.398E+06         
0818+4729  18.42   1.00  0.112E+10  0.100E+07         
0820+4707  16.41   0.97  0.720E+10  0.200E+07         
0821+4048  17.29   0.62  0.115E+11  0.126E+07   >     
0823+0651  18.76   0.73  0.112E+10  0.501E+06         
0823+0606  18.13   1.15  0.673E+10  0.126E+07         
0823+2448  18.41   0.68  0.183E+11  0.158E+07         
0824+0725  16.93   0.94  0.994E+10  0.794E+06         
0824+2959  13.72   0.68  0.124E+11  0.200E+06   >     
0827+2729  20.36   0.55  0.969E+09  0.501E+06         
0830+0847  18.63   0.98  0.194E+10  0.158E+07         
0832+5024  19.10   0.72  0.519E+10  0.794E+06         
0833+0620  18.31   0.60  0.336E+10  0.251E+06         
0838+5406  15.94   1.30  0.417E+10  0.158E+07         
0839+0821  17.85   0.61  0.745E+10  0.631E+06         
0840+0759  19.15   0.99  0.380E+10  0.100E+07         
0840+4123  18.86   0.69  0.145E+09  0.158E+07         
0843+3610  17.44   0.69  0.522E+10  0.501E+06         
0847+3604  18.14   1.06  0.421E+10  0.100E+07         
0848+3735  19.23   0.83  0.602E+10  0.158E+07         
0854+0808  19.93   0.73  0.501E+10  0.158E+07         
0900+4327  16.62   0.89  0.683E+10  0.158E+07         
0903+0457  17.93   0.72  0.143E+10  0.794E+06         
0903+4639  15.92   0.72  0.418E+10  0.158E+07         
0904+0753  18.83   0.61  0.119E+10  0.794E+06         
0907+4454  18.99   0.79  0.263E+10  0.158E+07         
0910+0408  18.11   0.63  0.181E+10  0.126E+06         
0911+5500  16.97   1.26  0.359E+10  0.200E+07         
0914+0853  18.36   0.46  0.421E+10  0.100E+07         
0916+3834  19.56   0.65  0.482E+10  0.158E+07         
0918+3637  17.95   0.42  0.106E+11  0.631E+06         
0924+5607  13.48   1.39  0.305E+11  0.126E+07         
0925+0502  18.78   0.53  0.261E+10  0.501E+06         
0927+0843  19.05   1.40  0.416E+10  0.200E+07        *
0931+0635  19.15   0.68  0.103E+10  0.200E+07         
0933+5347  17.36   0.80  0.268E+10  0.100E+07         
0938+0348  18.98   0.72  0.259E+10  0.631E+06         
0940+0324  16.96   0.85  0.468E+10  0.100E+07         
0942+4800  19.06   0.55  0.560E+10  0.158E+07         
0942+0838  17.59   0.55  0.928E+10  0.200E+07         
0953+3650  17.99   0.50  0.685E+09  0.100E+07         
0953+5626  17.63   1.02  0.367E+10  0.200E+07         
0954+4032  17.66   0.68  0.245E+10  0.200E+07         
1006+3657  17.54   0.72  0.810E+10  0.126E+07         
1021+0127  17.25   1.01  0.526E+10  0.126E+07         
1022+3837  19.59   0.95  0.396E+09  0.251E+06         
1027+4850  18.26   1.19  0.133E+11  0.200E+07        *
1029+4314  16.89   0.76  0.907E+10  0.100E+07         
1033+6353  18.93   1.05  0.435E+11  0.126E+07        *
1043+5121  17.34   1.12  0.813E+10  0.126E+07         
1048+4133  19.39   0.83  0.531E+09  0.100E+07         
1051+6059  18.94   0.98  0.167E+10  0.158E+07         
1051+5042  17.61   0.69  0.110E+11  0.158E+07         
1054+4541  19.69   0.82  0.414E+09  0.251E+06         
1057+4825  17.15   0.71  0.487E+10  0.501E+06         
1102+4638  17.57   0.59  0.126E+11  0.126E+07         
1105+5941  15.21   0.70  0.577E+10  0.794E+07         
1114+5258  18.44   0.66  0.165E+10  0.158E+07         
1115+5024  16.39   1.14  0.635E+10  0.126E+07         
1116+4026  19.62   0.51  0.326E+10  0.631E+06         
1122+5342  19.29   0.63  0.912E+09  0.126E+07         
1123+4331  18.02   0.63  0.229E+10  0.126E+07         
1123+6711  17.75   1.08  0.236E+10  0.200E+06         
1126+5134  15.96   1.07  0.271E+10  0.126E+07         
1127+4625  18.18   1.05  0.612E+10  0.200E+07        *
1127+5850  17.72   1.03  0.623E+10  0.126E+07         
1135+6440  19.37   0.71  0.160E+10  0.126E+07         
1136+4245  16.08   0.89  0.153E+11  0.100E+07         
1136+4113  17.51   0.66  0.308E+10  0.200E+07         
1147+4732  17.57   0.84  0.398E+10  0.158E+07         
1148+5145  17.69   1.07  0.377E+10  0.200E+07         
1151+5613  18.35   0.76  0.813E+09  0.126E+07         
1153+5256  16.08   1.16  0.135E+12  0.100E+07   >    *
1153+4612  15.32   0.89  0.335E+10  0.100E+07         
1156+5649  18.70   0.84  0.383E+10  0.794E+06         
1216+6018  16.18   1.01  0.112E+11  0.126E+07         
1218+4706  16.27   1.08  0.284E+11  0.126E+07         
1223+5814  13.90   0.90  0.433E+10  0.100E+07   >     
1227+6306  18.73   0.73  0.134E+10  0.100E+07         
1233+6349  17.22   0.71  0.165E+11  0.126E+07   >     
1242+5753  17.71   0.71  0.630E+10  0.126E+07         
1251+4724  16.68   1.08  0.226E+11  0.158E+07         
1253+4627  18.07   1.33  0.474E+12  0.158E+07        *
1258+5225  19.01   0.85  0.111E+10  0.158E+07         
1308+5052  16.52   1.22  0.801E+10  0.158E+07         
1313+6332  18.98   0.73  0.760E+10  0.158E+07         
1313+0519  16.77   0.80  0.336E+10  0.200E+06         
1316+0556  16.83   0.84  0.431E+10  0.100E+07         
1319+1056  16.37   0.68  0.743E+10  0.794E+06         
1325+5429  18.14   0.56  0.720E+10  0.158E+07         
1342+4827  18.36   0.55  0.199E+10  0.200E+07         
1347+4743  18.76   0.59  0.708E+09  0.100E+07         
1357+6525  18.12   0.55  0.342E+10  0.158E+07         
1408+5628  16.62   0.81  0.330E+11  0.126E+07         
1408+6431  17.71   0.63  0.114E+11  0.158E+07         
1416+5528  16.76   1.11  0.115E+11  0.251E+07         
1421+6313  17.89   0.75  0.950E+10  0.158E+07         
1425+3449  18.50   0.68  0.928E+10  0.158E+07         
1430+5722  17.82   0.89  0.802E+10  0.158E+07         
1433+5258  17.73   1.37  0.226E+10  0.158E+07         
1435+3413  18.84   0.98  0.513E+09  0.316E+06         
1437+5458  17.82   0.96  0.597E+10  0.158E+07         
1442+6111  17.55   1.13  0.221E+10  0.200E+07         
1506+3413  17.57   0.61  0.420E+10  0.100E+07         
1534+0408  19.04   0.62  0.206E+09  0.631E+05         
1546+4751  18.43   0.75  0.331E+10  0.126E+07         
1600+5052  17.88   0.66  0.446E+10  0.126E+07         
1617-0019  19.10   0.77  0.523E+09  0.501E+06         
1621+3436  17.80   1.32  0.145E+11  0.501E+06        *
1624-0054  17.18   1.08  0.282E+10  0.126E+07         
1625-0043  19.40   0.80  0.206E+10  0.158E+07         
1626+3502  14.98   0.68  0.710E+10  0.316E+06         
1631+2437  16.20   0.75  0.416E+10  0.200E+06         
1656+3714  16.60   0.74  0.614E+10  0.200E+07   >     
1708+6015  17.76   0.94  0.159E+11  0.158E+07         
2058-0650  16.75   0.62  0.631E+10  0.126E+07         
2124+0106  17.64   0.74  0.120E+11  0.158E+07         
2137-0838  18.61   0.67  0.656E+10  0.200E+07         
2207-0010  18.65   0.62  0.701E+10  0.126E+07   >     
2211-0105  18.49   0.89  0.296E+10  0.200E+07         
2238+1433  18.78   0.57  0.445E+10  0.158E+07         
2256+1410  17.81   0.66  0.117E+11  0.251E+07         
2358+0020  18.81   0.68  0.769E+10  0.100E+07         
