# galaxy   core     mbh    perr   merr       kmagbul type 
A1836,BCG  y     39       4        5     -26.25   E
A3565,BCG  y     11       2        2     -25.65   E
IC1459  y     24      10       10     -25.50 	  E
NGC821  n   0.39    0.26     0.09     -24.02 	  E
NGC1399  y    4.7     0.6      0.6     -25.17 	  E
NGC2974  n    1.7     0.2      0.2     -23.66 	  E
NGC3377  n   0.77    0.04     0.06     -22.78 	  E
NGC3379  y    4.0     1.0      1.0     -23.83 	  E
NGC3608  y    2.0     1.1      0.6     -23.68 	  E
NGC4261  y    5.0     1.0      1.0     -25.24 	  E
NGC4291  y    3.3     0.9      2.5     -23.66 	  E
NGC4374  y    9.0     0.9      0.8     -25.08 	  E
NGC4473  n    1.2     0.4      0.9     -23.83 	  E
NGC4486  y     58     3.5      3.5     -25.19 	  E
NGC4486a  n   0.13    0.08     0.08     -22.15    E
NGC4552  y    4.7     0.5      0.5     -24.16 	  E
NGC4621  n    3.9     0.4      0.4     -24.52 	  E
NGC4649  y     47      10       10     -25.37 	  E
NGC4697  n    1.8     0.2      0.1     -23.96 	  E
NGC5077  y    7.4     4.7      3.0     -24.94 	  E
NGC5576  n    1.6     0.3      0.4     -24.19 	  E
NGC5813  y    6.8     0.7      0.7     -25.12 	  E
NGC5845  n    2.6     0.4      1.5     -22.95 	  E
NGC5846  y     11       1        1     -25.02 	  E
NGC6086  y     37      18       11     -25.93 	  E
NGC6251  y    5.9     2.0      2.0     -26.25 	  E
NGC7052  y    3.7     2.6      1.5     -25.68 	  E
NGC7768  y     13       5        4     -26.11 	  E
CygnusA  y     25       7        7     -25.81     S
IC2560  n  0.044   0.044    0.022     -22.78 	  S
NGC224  n    1.4     0.9      0.3     -21.82 	  S
NGC253  n   0.10    0.10     0.05     -21.42 	  S
NGC524  y    8.3     2.7      1.3     -23.61 	  S
NGC1023  n   0.42    0.04     0.04     -23.01 	  S
NGC1068  n  0.084   0.003    0.003     -23.47 	  S
NGC1194  n   0.66    0.03     0.03     -22.91 	  S
NGC1300  n   0.73    0.69     0.35     -21.91 	  S
NGC1332  y   14.5       2        2     -23.74 	  S
NGC2273  n  0.083   0.004    0.004     -22.66 	  S
NGC2549  n   0.14    0.02     0.13     -21.44 	  S
NGC2778  n   0.15    0.09      0.1     -21.15 	  S
NGC2787  n   0.40    0.04     0.05     -20.98 	  S
NGC2960  n  0.117   0.005    0.005     -23.69 	  S
NGC3031  n   0.74    0.21     0.11     -22.56 	  S
NGC3115  n    8.8    10.0      2.7     -23.00 	  S
NGC3227  n   0.14    0.10     0.06     -22.75 	  S
NGC3245  n    2.0     0.5      0.5     -22.61 	  S
NGC3368  n  0.073   0.015    0.015     -22.17 	  S
NGC3384  n   0.17    0.01     0.02     -22.47 	  S
NGC3393  n   0.34    0.02     0.02     -23.56 	  S
NGC3414  n    2.4     0.3      0.3     -22.87 	  S
NGC3489  n  0.058   0.008    0.008     -21.88 	  S
NGC3585  n    3.1     1.4      0.6     -23.69 	  S
NGC3607  n    1.3     0.5      0.5     -23.68 	  S
NGC3998  y    8.1     2.0      1.9     -22.21 	  S
NGC4026  n    1.8     0.6      0.3     -22.11 	  S
NGC4151  n   0.65    0.07     0.07     -22.60 	  S
NGC4258  n   0.39    0.01     0.01     -21.76 	  S
NGC4342  n    4.5     2.3      1.5     -21.73 	  S
NGC4388  n  0.075   0.002    0.002     -23.65 	  S
NGC4459  n   0.68    0.13     0.13     -22.73 	  S
NGC4564  n   0.60    0.03     0.09     -21.87 	  S
NGC4594  y    6.4     0.4      0.4     -23.86 	  S
NGC4596  n   0.79    0.38     0.33     -22.60 	  S
NGC4736  n  0.060   0.014    0.014     -21.55 	  S
NGC4826  n  0.016   0.004    0.004     -22.47 	  S
NGC4945  n  0.014   0.014    0.007     -20.60 	  S
NGC5128  n   0.45    0.17     0.10     -22.87 	  S
NGC6264  n  0.305   0.004    0.004     -23.47 	  S
NGC6323  n   0.10   0.001    0.001     -23.44 	  S
NGC7582  n   0.55    0.26     0.19     -22.94 	  S
UGC3789  n  0.108   0.005    0.005     -22.46 	  S
# NGC3079   n  0.024   0.024    0.012     -21.86 
# MilkyWay   n  0.043   0.004    0.004      ...     
# M32   n   0.024   0.005    0.005    -19.42
# NGC3842   y     97      30       26     -26.02 
# NGC1316   ?    1.5    0.75      0.8     -24.68 
# NGC4889   y    210     160      160     -26.80 
