           J_tot(2MASS)      K_s,tot(2MASS)
A1836    10.983 +/-0.024   09.993 +/-0.038 
A3565     8.483 +/-0.013    7.502 +/-0.021
IC1459    7.693 +/-0.019    6.805 +/-0.025
IC2560    9.682 +/-0.015    8.694 +/-0.025
NGC1023   7.158 +/-0.017    6.238 +/-0.021
NGC1068   6.966 +/-0.015    5.788 +/-0.016
NGC1194  10.754 +/-0.018    9.758 +/-0.029
NGC1300   8.501 +/-0.027    7.564 +/-0.047
NGC1332   7.996 +/-0.016    7.052 +/-0.020
NGC1399   7.206 +/-0.019    6.306 +/-0.027
NGC2273   9.446 +/-0.013    8.480 +/-0.020
NGC2549   8.971 +/-0.008    8.046 +/-0.014
NGC2778  10.399 +/-0.018    9.514 +/-0.029
NGC2787   8.216 +/-0.007    7.263 +/-0.011
NGC2960  10.773 +/-0.022    9.783 +/-0.038
NGC3079   8.439 +/-0.017    7.262 +/-0.019
NGC3115   6.789 +/-0.016    5.883 +/-0.017
NGC3227   8.588 +/-0.021    7.639 +/-0.029
NGC3245   8.793 +/-0.006    7.862 +/-0.010
NGC3368   7.236 +/-0.018    6.320 +/-0.023
NGC3377   8.285 +/-0.019    7.441 +/-0.029
NGC3379   7.168 +/-0.016    6.270 +/-0.018
NGC3384   7.667 +/-0.016    6.750 +/-0.019
NGC3393  10.086 +/-0.027    9.059 +/-0.039
NGC3414   8.890 +/-0.008    7.981 +/-0.014
NGC3489   8.270 +/-0.005    7.370 +/-0.009
NGC3585   7.610 +/-0.017    6.703 +/-0.021
NGC3607   7.909 +/-0.018    6.994 +/-0.023
NGC3608   8.951 +/-0.009    8.096 +/-0.015
NGC3842  10.041 +/-0.018    9.082 +/-0.025
NGC3998   8.327 +/-0.007    7.365 +/-0.010
NGC4026   8.515 +/-0.017    7.584 +/-0.019
NGC4151   8.500 +/-0.020    7.381 +/-0.025
NGC4258   6.375 +/-0.018    5.464 +/-0.022
NGC4261   8.202 +/-0.019    7.263 +/-0.028
NGC4291   9.366 +/-0.011    8.417 +/-0.015
NGC4342   9.950 +/-0.009    9.023 +/-0.022
NGC4374   7.124 +/-0.018    6.222 +/-0.023
NGC4388   8.975 +/-0.021    8.004 +/-0.027
NGC4459   8.104 +/-0.008    7.152 +/-0.011
NGC4473   8.040 +/-0.018    7.157 +/-0.023
NGC4486a  9.829 +/-0.008    9.012 +/-0.015
NGC4552   7.619 +/-0.018    6.728 +/-0.024
NGC4564   8.870 +/-0.013    7.937 +/-0.021
NGC4594   5.886 +/-0.015    4.962 +/-0.017
NGC4596   8.364 +/-0.012    7.463 +/-0.021
NGC4621   7.648 +/-0.019    6.746 +/-0.026
NGC4649   6.670 +/-0.017    5.739 +/-0.021
NGC4697   7.235 +/-0.019    6.367 +/-0.027
NGC4736   6.026 +/-0.015    5.106 +/-0.016
NGC4826   6.267 +/-0.016    5.330 +/-0.017
NGC4889   9.398 +/-0.014    8.407 +/-0.019
NGC5077   9.195 +/-0.011    8.216 +/-0.019
NGC0524   8.131 +/-0.007    7.163 +/-0.012
NGC5576   8.741 +/-0.012    7.827 +/-0.021
NGC5813   8.342 +/-0.020    7.413 +/-0.031
NGC5845  10.075 +/-0.009    9.112 +/-0.018
NGC5846   7.888 +/-0.018    6.949 +/-0.026
NGC6086  11.017 +/-0.022    9.973 +/-0.032
NGC6251  10.060 +/-0.017    9.026 +/-0.024
NGC6264  12.388 +/-0.039   11.407 +/-0.073
NGC6323  11.553 +/-0.027   10.530 +/-0.049
NGC7052   9.541 +/-0.013    8.574 +/-0.020
NGC7582   8.354 +/-0.017    7.316 +/-0.021
NGC 821   8.800 +/-0.013    7.900 +/-0.019
UGC3789  10.494 +/-0.015    9.510 +/-0.023   2   0.024   0.06    3257.0  -0.04   48.4 
NGC1316   6.445 +/-0.017    5.587 +/-0.019  ! core or Sersic? 
NGC221    6.277 +/-0.016    5.095 +/-0.017  ! M32 
NGC2974   7.246 +/-0.002    6.255 +/-0.005  ! bad 2MASS data (bright nearby star)
                                            Type  A_K    R_25     vel    K_corr  Dist  
M87_4486  6.719 +/-0.017   05.812 +/-0.019   E   0.008   0.00    1307.0  -0.01   15.6  
Cygnus A 11.437 +/-0.058   10.276 +/-0.062   1   0.140   0.13   16811.0  -0.07  232.0  
NGC 5128  4.976 +/-0.016    3.942 +/-0.016   0   0.042   0.11     547.    0.00    3.8  
NGC  224  2.094 +/-0.016    0.984 +/-0.017   3   0.023   0.49  -00300.0   0.00    0.74 
NGC 3031  4.760 +/-0.016    3.831 +/-0.018   2   0.029   0.28  -00034.0   0.00    3.8  
NGC 4945  5.598 +/-0.016    4.483 +/-0.017   6   0.065   0.72     563.    0.00    3.8  
NGC  253  4.814 +/-0.016    3.772 +/-0.017   5   0.007   0.61     243.    0.00    3.5  
NGC 7768 10.323 +/-0.017    9.335 +/-0.029   E   0.014   0.00    8191.   -0.05  112.8  

NGC5252  10.888 +/-0.026    9.768 +/-0.037  ! K-mag diff 0.78 mag (avoid in fit, plus uncertain BH mass)
Circinus
Milky Way
