# Galaxy       id                       KMAGsph  
Abel1836      a1836                        -26.29     
Abel3565      ic4296                        -25.84     
CenA          n5128                         -22.87    
CygnusA       cygnusa                       -25.81      
IC1459        ic1459                        -25.50      
IC2560        ic2560                       -22.97      
M31           m31                       -21.69      
M81           m81                       -22.56      
M84           m84                        -25.25     
M87           m87                        -25.43     
NGC253        n0253		       -21.42
NGC524        n0524		     -23.82
NGC821        n0821		     -24.60
NGC1023       n1023		       -23.07
NGC1068       m77			-23.57
NGC1194       n1194		       -22.80
NGC1300       n1300			-21.73
NGC1332       n1332		      -23.92
NGC1399       n1399		      -25.32
NGC2273       n2273			-22.94
NGC2549       n2549		       -21.42
NGC2778       n2778		       -21.19
NGC2787       n2787		       -20.96
NGC2960       n2960			-23.85
NGC2974       n2974		      -24.03
NGC3079       n3079			-21.84
NGC3115       n3115		      -23.09
NGC3227       n3227		       -22.60
NGC3245       n3245		      -22.63
NGC3368       m96			 -22.29
NGC3377       n3377		      -22.87
NGC3379       m105		      -23.87
NGC3384       n3384		       -22.48
NGC3393       n3393		       -23.89
NGC3414       n3414		      -22.98
NGC3489       n3489			-21.95
NGC3585       n3585		      -23.94
NGC3607       n3607		      -23.53
NGC3608       n3608		      -23.56
NGC3842       n3842exp		      -26.75
NGC3998       n3998		      -22.37
NGC4026       n4026		      -22.22
NGC4151       n4151			-22.60
NGC4258       m106			-21.58
NGC4261       n4261		      -25.46
NGC4291       n4291		      -23.89
NGC4342       n4342		      -21.70
NGC4388       n4388			-23.57
NGC4459       n4459		      -22.90
NGC4473       n4473		      -24.02
NGC4486a      n4486a		      -22.24
NGC4552       m89		      -24.25
NGC4564       n4564		      -22.10
NGC4594       m104		      -23.91
NGC4596       n4596		       -22.84
NGC4621       m59		      -24.49
NGC4649       m60		      -25.50
NGC4697       n4697		      -24.06
NGC4736       m94		       -21.54
NGC4826       m64		       -22.47
NGC4889       n4889		       -27.00
NGC4945       n4945		      -20.60
NGC5077       n5077		       -25.40
NGC5576       n5576		       -24.50
NGC5813       n5813		       -25.25
NGC5845       n5845		       -22.99
NGC5846       n5846		      -25.32
NGC6086       n6086		       -26.50
NGC6251       n6251		      -26.57
NGC6264       n6264		       -23.61
NGC6323       n6323			-23.37
NGC7052       n7052		       -25.97
NGC7582       n7582			-22.83
NGC7768       n7768			-26.41
UGC3789       ugc03789                      -22.66
