# dir      source	   color   
  ic1459     fromsigma 	   -0.1169436354864922 
  ic2560     fromsigma 	   -0.08126151163838219
  ic4296     fromsigma 	   -0.12122988396701609
  m104       fromsigma 	   -0.1155304529755761 
  m105       Peletier+2012 -0.101
  m106       fromsigma 	   -0.07785442302176399
  m31        fromsigma 	   -0.08911893243023183
  m49        fromsigma 	   -0.1160062167644432 
  m59        Peletier+2012 -0.093
  m64        fromsigma 	   -0.05953551176299915
  m81        fromsigma 	   -0.08683713658514672
  m84        Peletier+2012 -0.098
  m87        Peletier+2012 -0.106
  m89        Peletier+2012 -0.107
  m94        fromsigma 	   -0.065856633983567  
  m96        fromsigma 	   -0.0756858866916176 
  n0524      Peletier+2012 -0.09
  n0821      Peletier+2012 -0.089
  n1023      Peletier+2012 -0.096
  n1300      fromsigma 	   -0.10322206757504779
  n1316      fromsigma 	   -0.1025978198670667 
  n1332      fromsigma 	   -0.11906134763686968
  n1374      fromsigma 	   -0.08827609535508654
  n1399      fromsigma 	   -0.12037435287654716
  n2273      fromsigma 	   -0.0815891122436122 
  n2549      Peletier+2012 -0.097
  n2778      fromsigma 	   -0.08683713658514672
  n2787      fromsigma 	   -0.09912190312599714
  n2974      Peletier+2012 -0.089
  n3079      fromsigma 	   -0.06630963359862321
  n3091      fromsigma 	   -0.1155304529755761 
  n3115      fromsigma 	   -0.10775265894518829
  n3227      fromsigma 	   -0.07749982886541229
  n3245      fromsigma 	   -0.09912190312599714
  n3377      Peletier+2012 -0.057 
  n3384      Peletier+2012 -0.081
  n3393      fromsigma 	   -0.0960968186516136 
  n3414      Peletier+2012 -0.09 
  n3489      Peletier+2012 -0.064
  n3585      fromsigma 	   -0.0982115270202377 
  n3607      fromsigma 	   -0.10217703399842368
  n3608      Peletier+2012 -0.084 
  n3842exp   fromsigma 	   -0.11101865029332955
  n3998      fromsigma 	   -0.11678868248879962
  n4026      fromsigma 	   -0.0912957802516694 
  n4151      fromsigma 	   -0.08505058122063627
  n4261      fromsigma 	   -0.11740547425730699
  n4291      fromsigma 	   -0.11357808974092756
  n4388      fromsigma 	   -0.06720283176768782
  n4459      Peletier+2012 -0.089
  n4473      Peletier+2012 -0.099
  n4564      Peletier+2012 -0.11
  n4596      fromsigma 	   -0.08287730325693782
  n4697      fromsigma 	   -0.08939657603274476
  n4889      fromsigma 	   -0.12289591275220521
  n4945      fromsigma 	   -0.06399999999999997
  n5077      fromsigma 	   -0.10831287966730105
  n5128      fromsigma 	   -0.07263075581919104
  n5576      fromsigma 	   -0.08939657603274476
  n5845      Peletier+2012 -0.115
  n5846      Peletier+2012 -0.103
  n6251      fromsigma 	   -0.11771088240392522
  n7052      fromsigma 	   -0.11223029482802485
  n7619      fromsigma 	   -0.11472673080787757
  n7768      fromsigma 	   -0.10868271044311109
  ugc03789   fromsigma 	   -0.06720283176768782
