# gal     r_e_kpc   ABSMAG_bulge   dist       incl   Ag
ngc0524     1.39      -24.10      32.1000     17.4   0.030
ngc2273     0.36      -22.18      28.4000     53.6   0.026
ngc2787     0.21      -21.51      13.0000     55.6   0.048
ngc3245     0.40      -22.69      22.2000     51.6   0.009
ngc3384     0.21      -21.50      8.10000     59.7   0.010
ngc3414     0.54      -22.95      24.9000     31.1   0.009
ngc3489     0.07      -20.00      6.40000     49.7   0.006
ngc3607     0.63      -23.22      19.9000     23.3   0.008
ngc3998     0.40      -23.23      21.6000     38.0   0.006
ngc4459     0.49      -22.76      16.8000     45.6   0.017
ngc4596     0.29      -21.67      16.8000     44.3   0.008
ngc5846     2.34      -24.41      28.5000     24.0   0.020
