#  RA(J2000)     Dec(J2000)       AORKEY      Observation_start_time   ProgramID  
  14h13m09.91s   -65d20m20.5s      22108160    2007-09-09              40936  
  14h13m09.91s   -65d20m20.5s      25705472    2009-03-20              50173  
  14h13m13.91s   -65d21m30.0s      25705728    2009-03-20              50173  
  22h57m10.61s   -36d27m44.0s      14570240    2005-11-27              20371  
  10h16m19.30s   -33d33m53.0s      22104576    2007-07-04              40936  
  10h16m19.27s   -33d33m53.2s      35377664    2010-01-23              61009  
  13h36m39.05s   -33d57m57.2s      14571008    2006-02-12              20371  
  12h39m59.43s   -11d37m23.0s      5517824     2005-01-22       	 159  
  12h39m59.43s   -11d37m23.0s      5518080     2004-06-10       	 159  
  10h47m49.50s   +12d34m56.0s      4445696     2004-12-15       	  69  
  12h18m57.52s   +47d18m14.2s      15189248    2005-12-24              20801  
  12h19m17.00s   +47d12m10.0s      31522560    2011-02-09              61002  
  12h19m17.00s   +47d12m10.0s      31523072    2011-01-17              61002  
  12h19m17.00s   +47d12m10.0s      31523584    2010-07-17              61002  
  12h19m17.00s   +47d12m10.0s      31536384    2010-07-03              61002  
  12h19m17.00s   +47d12m10.0s      31536640    2010-06-21              61002  
  12h19m17.00s   +47d12m10.0s      31536896    2010-06-06              61002  
  12h19m17.00s   +47d12m10.0s      31537152    2010-02-26              61002  
  12h19m17.00s   +47d12m10.0s      31537664    2010-02-07              61002  
  12h19m17.00s   +47d12m10.0s      31538176    2010-01-29              61002  
  12h19m17.00s   +47d12m10.0s      31538688    2010-01-12              61002  
  12h19m17.00s   +47d12m10.0s      31539200    2011-06-27              61002  
  12h19m17.00s   +47d12m10.0s      31539712    2011-06-15              61002  
  12h18m57.50s   +47d18m14.3s      35331072    2010-01-14              61008  
  0h40m32.46s    +41d21m27.2s      10883072    2005-07-22       	3400  
  0h42m34.42s    +41d14m01.6s      10883840    2005-01-19       	3400  
  0h42m59.60s    +41d19m19.3s      10884096    2005-07-23       	3400  
  0h44m29.78s    +41d21m36.6s      10884608    2005-01-21       	3400  
  0h42m44.00s    +41d16m06.0s      10885120    2005-01-19       	3400  
  0h42m42.00s    +40d51m54.0s      10885376    2005-01-18       	3400  
  0h43m02.42s    +41d12m56.7s      12237312    2005-01-16       	3362  
  0h45m23.97s    +41d16m08.5s      12550656    2005-01-21       	3126  
  0h45m23.97s    +41d16m08.5s      12550912    2005-01-20       	3126  
  0h39m14.63s    +40d16m08.5s      12551168    2005-01-20       	3126  
  0h39m14.63s    +40d16m08.5s      12551424    2005-01-20       	3126  
  0h42m44.32s    +41d16m08.5s      12551680    2005-01-20       	3126  
  0h39m14.63s    +40d16m08.5s      12551936    2005-01-20       	3126  
  0h42m44.32s    +41d16m08.5s      12552192    2005-01-20       	3126  
  0h39m14.63s    +40d16m08.5s      12552448    2005-01-20       	3126  
  0h42m44.32s    +41d16m08.5s      12552704    2005-01-20       	3126  
  0h42m44.32s	 +41d16m08.5s	   12552960    2005-01-20       	3126  
  0h42m44.32s	 +41d16m08.5s	   12553216    2005-01-20       	3126  
  0h42m44.32s	 +42d16m08.5s	   12553472    2005-01-19       	3126  
  0h42m44.32s	 +42d16m08.5s	   12553728    2005-01-19       	3126  
  0h39m17.31s	 +40d15m00.0s	   15213312    2005-08-19       	3126  
  0h39m17.31s	 +40d15m00.0s	   15213568    2005-08-19       	3126  
  0h42m46.00s	 +41d15m00.0s	   15213824    2005-08-18       	3126  
  0h42m46.00s	 +41d15m00.0s	   15214080    2005-08-18       	3126  
  0h42m46.00s	 +41d15m00.0s	   15214336    2005-08-18       	3126  
  0h45m25.61s	 +41d15m00.0s	   15214592    2005-08-18       	3126  
  0h39m16.31s	 +40d15m10.0s	   15214848    2005-08-19       	3126  
  0h45m25.61s	 +41d15m00.0s	   15215104    2005-08-18       	3126  
  0h39m16.31s	 +40d15m10.0s	   15215360    2005-08-18       	3126  
  0h42m42.38s	 +41d08m45.5s	   17862656    2007-02-19              30192  
  0h42m55.95s	 +41d03m22.0s	   17862912    2008-02-02              30192  
  0h40m54.40s	 +40d53m50.3s	   17863424    2008-02-02              30192  
  0h44m23.90s	 +41d22m48.0s	   33174016    2010-09-02              61001  
  0h44m23.90s	 +41d22m48.0s	   33174528    2010-03-08              61001  
  0h44m23.90s	 +41d22m48.0s	   33175040    2010-02-25              61001  
  0h44m23.90s	 +41d22m48.0s	   33175808    2010-02-13              61001  
  0h44m23.90s	 +41d22m48.0s	   33176576    2010-02-05              61001  
  0h44m23.90s	 +41d22m48.0s	   33181696    2011-03-12              61001  
  0h44m23.90s	 +41d22m48.0s	   33182208    2011-03-02              61001  
  0h44m23.90s	 +41d22m48.0s	   33182720    2011-02-20              61001  
  0h44m23.90s	 +41d22m48.0s	   33207040    2011-02-09              61001  
  0h44m23.90s	 +41d22m48.0s	   33207808    2010-10-04              61001  
  0h44m23.90s	 +41d22m48.0s	   33208320    2010-09-23              61001  
  0h44m23.90s	 +41d22m48.0s	   33208832    2010-09-11              61001  
  0h45m43.39s	 +41d13m18.3s	   41067008    2011-02-09              70062  
  0h45m34.20s	 +41d09m19.0s	   41067520    2011-02-09              70062  
  0h42m41.80s	 +40d51m52.0s	   4425728     2004-07-19       	  69  
  0h42m42.00s	 +40d51m54.0s	   10885376    2005-01-18       	3400  
  12h29m21.31s   +8d09m23.7s	   16851456    2006-02-09              20606  
  12h29m30.26s   +7d59m34.4s	   16853504    2006-02-09              20606  
  12h30m05.09s   +8d04m23.6s	   16856832    2006-02-09              20606  
  12h29m46.80s   +8d00m01.4s	   41211392    2011-07-22              61068  
