# galaxy   type   log(Mbh)          perr                merr               log(sigma)          err                 mag_sph           perr         merr             mag_tot           err  	log(Re_maj)         perr                 merr   
IC1459     E	  9.38021124171     0.151267675331	0.234083206033     2.48572142648     0.0211892990699	 -26.1533917002     0.177975     0.114466666667	  -26.1534086551     0.25	 0.938819314266     0.0661586628819     0.113928049325     
# IC2560     Sp	  6.64345267413     0.301029995664	0.301029995664     2.1583624921     0.0211892990699	 -22.2745720461     0.660240254075     0.579525	  -24.7613867086     0.25	 0.0820980698455     0.324813281979     0.298095403867     
IC4296     E	  9.04139268516     0.0725506671486	0.0871501757189     2.52504480704     0.0211892990699	 -26.3512720461     0.177975     0.114466666667	  -26.3512333917     0.25	 1.11398614711     0.0661586628819     0.113928049325     
M104     S0	  8.80617998046     0.0263289387223	0.0280287236002     2.47275644932     0.0211892990699	 -23.9111180264     0.660240254075     0.579525	  -25.2069042576     0.25	 -0.294594818187     0.324813281979     0.298095403867     
M105     E	  8.60205999133     0.0969100130081	0.124938736608     2.32014628611     0.0211892990699	 -24.2932861235     0.660240254075     0.579525	  -24.2932389984     0.25	 0.45547163956     0.324813281979     0.298095403867     
M106     Sp	  7.5910645911     0.010995384457	0.0112810105734     2.12710479836     0.0211892990699	 -21.1094624822     0.177975     0.114466666667	  -24.0439735615     0.25	 -0.272074898051     0.0661586628819     0.113928049325     
M31     Sp	  8.14612802828     0.215599798732	0.104735357244     2.23044892138     0.0211892990699	 -22.7408585987     0.177975     0.114466666667	  -24.674520849     0.25	 0.176629672236     0.0661586628819     0.113928049325     
M49     E	  9.39794000867     0.0492180226702	0.0177287669604     2.47712125472     0.0211892990699	 -26.5431540879     0.177975     0.114466666667	  -26.54313191     0.25	 1.19878569344     0.0661586628819     0.113928049325     
M59     E	  8.59106461765     0.0424038481672	0.0469965622021     2.35218251811     0.0211892990699	 -25.1795000115     0.177975     0.114466666667	  -25.2676586045     0.25	 0.617334716351     0.0661586628819     0.113928049325     
M64     Sp	  6.20412000328     0.0969100130081	0.124938736608     1.95904139232     0.0211892990699	 -21.5377143006     0.177975     0.114466666667	  -24.2374049063     0.25	 -0.875049012069     0.0661586628819     0.113928049325     
M81     Sp	  7.86923172533     0.108491881323	0.0698911688893     2.20951501454     0.0211892990699	 -23.0076179831     0.8781     0.660255341786	  -24.4272803595     0.25	 -0.243115962506     0.415780714824     0.38899756588     
M84     E	  8.95424250944     0.0413926841123	0.040428657687     2.47129171106     0.0211892990699	 -26.0098651549     0.660240254075     0.579525	  -26.0098671135     0.25	 0.945516908856     0.324813281979     0.298095403867     
M87     E	  9.76342799356     0.0254471222125	0.0270314912863     2.52374646681     0.0211892990699	 -25.9974229918     0.660240254075     0.579525	  -25.9974706219     0.25	 1.18619250795     0.324813281979     0.298095403867     
M89     E	  8.67209784031     0.0439054873937	0.048848569636     2.40140054078     0.0211892990699	 -24.4830313421     0.660240254075     0.579525	  -24.7441961521     0.25	 0.320889487351     0.324813281979     0.298095403867     
# M94     Sp	  6.77815124068     0.09108047372	0.115393425736     2.0170333393     0.0211892990699	 -22.0802633824     0.177975     0.114466666667	  -23.3602938833     0.25	 -0.615900074241     0.0661586628819     0.113928049325     
M96     Sp	  6.86332285374     0.0811598114631	0.0998948656978     2.10720996965     0.0211892990699	 -22.1498068689     0.177975     0.114466666667	  -24.1996160668     0.25	 -0.433095437253     0.0661586628819     0.113928049325     
