# galaxy  log_mass_sph  +err_log_mass_sph  -err_log_mass_sph  log_mbh  +err_log_mbh  -err_log_mbh  type  core 
ic1459   11.4603266844   0.0457866666668   0.07119   9.38021124171   0.151267675331   0.234083206033   E   1
ic2560   9.90879882278   0.23181   0.26409610163   6.64345267413   0.301029995664   0.301029995664   S   0
ic4296   11.5394788228   0.0457866666668   0.07119   9.04139268516   0.0725506671486   0.0871501757189   E   1
m104   10.5634172149   0.23181   0.26409610163   8.80617998046   0.0263289387223   0.0280287236002   S0/S   1
m105   10.7162844537   0.23181   0.26409610163   8.60205999133   0.0969100130081   0.124938736608   E   1
m106   9.44275499722   0.0457866666668   0.07119   7.5910645911   0.010995384457   0.0112810105734   S   0
m31   10.0953134438   0.0457866666668   0.07119   8.14612802828   0.215599798731   0.104735357244   S   0
m49   11.6162316395   0.0457866666668   0.07119   9.39794000867   0.0492180226702   0.0177287669604   E   1
m59   11.0707700089   0.0457866666668   0.07119   8.59106461765   0.0424038481671   0.046996562202   E   0
m64   9.61405572458   0.0457866666668   0.07119   6.20412000328   0.0969100130078   0.124938736608   S   0
m81   10.2020171976   0.264102136714   0.35124   7.86923172533   0.108491881323   0.0698911688893   S   0
m84   11.4029160663   0.23181   0.26409610163   8.95424250944   0.0413926841123   0.040428657687   E   1
m87   11.3979392011   0.23181   0.26409610163   9.76342799356   0.0254471222125   0.0270314912863   E   1
m89   10.7921825412   0.23181   0.26409610163   8.67209784031   0.0439054873937   0.0488485696359   E   1
m94   9.8310753573   0.0457866666668   0.07119   6.77815124068   0.0910804737198   0.115393425736   S   0
m96   9.8588927519   0.0457866666668   0.07119   6.86332285374   0.081159811463   0.0998948656976   S   0
n0524   10.2750018464   0.0457866666668   0.07119   8.91907810236   0.122314592215   0.0739800475502   S0   1
n0821   10.5980817192   0.264102136714   0.35124   7.5910645911   0.221848749616   0.113943362263   E   0
n1023   10.1272159619   0.0457866666668   0.07119   7.62324927684   0.0395085416186   0.0434656941865   S0   0
n1300   9.82231069526   0.23181   0.26409610163   7.86332287147   0.28896547802   0.283539246241   S   0
n1316   10.9555158928   0.23181   0.26409610163   8.17609125906   0.176091259056   0.330993226437   merger   0
n1332   10.9552197304   0.264102136714   0.35124   9.16136800223   0.0561159419789   0.0644579892269   E/S0   0
n1374   10.4722885728   0.0457866666668   0.07119   8.76342799356   0.0359125558906   0.0391521239621   E   0
n1399   11.5701734642   0.0457866666668   0.07119   8.67209784031   0.0521780156139   0.0593140063206   E   1
n2273   10.1990597243   0.23181   0.26409610163   6.91907807585   0.0204411619509   0.021451002967   S   0
n2549   9.49746022722   0.0457866666668   0.07119   7.14612803753   0.0579919455333   1.14612780457   S0   0
n2778   9.31897973042   0.23181   0.26409610163   7.17609127631   0.204119982656   0.47712123315   S0   0
n2787   9.04277572458   0.23181   0.26409610163   7.6020599978   0.0413926836874   0.0579919469778   S0   0
n2974   10.1793825766   0.23181   0.26409610163   8.23044893356   0.0483046789735   0.0543576615613   S   0
n3079   10.2043106953   0.23181   0.26409610163   6.38021124549   0.301029995664   0.301029995664   S   0
n3091   11.5114777438   0.0457866666668   0.07119   9.55630250077   0.0118992232997   0.024823583725   E   1
n3115   10.6860657115   0.0457866666668   0.07119   8.94448268156   0.329675172107   0.159152836368   E/S0   0
n3227   9.70484208018   0.23181   0.26409610163   7.14612803753   0.234083207959   0.243038040019   S   0
n3245   9.97144208018   0.0457866666668   0.07119   8.30102999566   0.0969100130081   0.124938736608   S0   0
n3377   10.3967830002   0.23181   0.26409610163   7.88649071441   0.021994293758   0.0352323765422   E   0
n3384   9.9719268913   0.0457866666668   0.07119   7.23044892595   0.024823582932   0.0543576604194   S0   0
n3393   10.3915681598   0.23181   0.26409610163   7.53147892161   0.024823582932   0.0263289378302   S   0
n3414   10.7391021731   0.0457866666668   0.07119   8.38021125897   0.0511525224473   0.0579919469776   E   0
n3489   9.44950172782   0.23181   0.26409610163   6.76342798107   0.056115945994   0.0644579945268   S0/S   0
n3585   11.2057592271   0.23181   0.26409610163   8.49136168047   0.161850821797   0.0934216925106   E   0
