# galaxy re_maj_gaussian_comb mue_maj_gaussian_comb n_maj_gaussian_comb msph_maj_gaussian_comb mtot_maj_gaussian_comb re_maj_gaussian_log mue_maj_gaussian_log n_maj_gaussian_log msph_maj_gaussian_log mtot_maj_gaussian_log re_maj_moffat_comb mue_maj_moffat_comb n_maj_moffat_comb msph_maj_moffat_comb mtot_maj_moffat_comb re_maj_moffat_log mue_maj_moffat_log n_maj_moffat_log msph_maj_moffat_log mtot_maj_moffat_log re_eq_gaussian_comb mue_eq_gaussian_comb n_eq_gaussian_comb msph_eq_gaussian_comb mtot_eq_gaussian_comb re_eq_gaussian_log mue_eq_gaussian_log n_eq_gaussian_log msph_eq_gaussian_log mtot_eq_gaussian_log re_eq_moffat_comb mue_eq_moffat_comb n_eq_moffat_comb msph_eq_moffat_comb mtot_eq_moffat_comb re_eq_moffat_log mue_eq_moffat_log n_eq_moffat_log msph_eq_moffat_log mtot_eq_moffat_log
circinus 18.9379 14.6161 0.5006 5.8356 3.161361317 10.3606 13.1461 1.0864 5.337 3.15647413127 18.9151 14.6131 0.5012 5.8347 3.16151477193 11.8243 13.3138 1.2358 5.1563 3.15733244422 13.9966 14.3695 0.4619 6.2766 3.21899513503 8.8528 13.0238 1.0116 5.5897 3.21556263769 13.8899 14.3462 0.4675 6.2654 3.21905287054 8.8132 13.0217 1.0207 5.5932 3.21579961962 
ic1459 63.413 18.5019 6.6785 5.832 5.83195812962 63.2941 18.5014 6.5416 5.8466 5.84657352136 63.085 18.4907 6.5526 5.8421 5.842118545 62.3264 18.467 6.2324 5.8713 5.87131348123 56.8153 18.5719 7.0932 6.1085 6.10849968827 57.5266 18.6003 6.9656 6.1195 6.11954335217 57.2658 18.5882 7.0199 6.1132 6.11318304513 55.2317 18.5124 6.3964 6.1654 6.16536320881 
ic2560 5.8617 16.4703 0.9107 9.9802 7.32577403079 5.7438 16.4939 1.1165 9.9528 7.32420498373 6.1225 16.5781 0.8006 10.0518 7.32726161638 6.2025 16.673 0.8557 10.0885 7.33959038359 4.235 16.3151 0.662 10.6723 8.28498515424 3.9321 16.2287 0.8493 10.6374 8.27566723271 4.4622 16.4762 0.5829 10.7734 8.28658533754 4.3948 16.566 0.6411 10.8564 8.31293000577 
ic4296 66.3775 19.3388 5.9266 6.633 6.63303101815 66.9524 19.3495 5.7365 6.6423 6.64232919252 65.8896 19.3236 5.8369 6.642 6.64197938959 65.3623 19.2984 5.4883 6.6667 6.6667424175 71.2703 19.5739 6.4881 6.6657 6.66565318919 80.3284 19.8061 6.7759 6.615 6.61503290362 68.0707 19.4799 6.1861 6.6967 6.69673865444 76.7982 19.7138 6.4328 6.6479 6.64785234785 
m104 10.9379 14.5542 5.5083 5.8026 3.91822735983 12.0924 14.7587 4.5822 5.8864 3.93527418288 10.8968 14.5533 5.5511 5.8058 3.91850958604 12.7284 14.8756 4.3799 5.9158 3.94042566041 52.167 17.6733 7.3114 5.3791 4.55025085682 26.3607 16.4489 5.1 5.8279 4.65795838918 33.0666 16.0201 2.0239 5.386 4.65264576373 38.697 17.11 5.5557 5.6102 4.6264256355 
m105 57.1059 17.9321 5.2273 5.6195 5.61950783809 62.4265 18.1283 5.7861 5.5685 5.56847945257 57.1557 17.9334 5.1747 5.6243 5.62425898676 62.7374 18.1371 5.668 5.5774 5.57740073014 51.0908 17.8454 5.3398 5.7632 5.76318012338 55.0576 18.0129 5.855 5.7196 5.71959362291 50.9147 17.8373 5.2565 5.7709 5.77094712512 54.9579 18.0066 5.6586 5.7354 5.73535493829 
m106 15.2628 16.0983 1.9985 7.1493 4.4859924716 15.7252 16.1724 2.0235 7.1523 4.4862497952 15.3115 16.1068 1.9858 7.1541 4.48640004988 15.8298 16.1894 1.9785 7.1663 4.48744296859 8.3366 15.5594 1.2064 8.1724 5.24236806992 8.6388 15.6726 1.2303 8.1989 5.24412922192 8.3369 15.5666 1.2125 8.1772 5.24268892065 8.7134 15.7058 1.2238 8.216 5.24524670022 
m31 424.7343 16.8282 2.251 0.5965 -1.68157085972 656.8404 17.4743 1.7809 0.4141 -1.73436148196 418.623 16.8043 2.2273 0.6095 -1.67988717333 659.6576 17.478 1.7829 0.4079 -1.73870368929 173.6124 15.6349 1.3378 1.6051 -0.32838501783 1066.6055 20.6927 3.775 2.1946 -0.072855234972 173.5727 15.635 1.3392 1.6053 -0.328362250336 1006.623 24.3399 9.9101 5.456 -0.0414426159593 
m49 190.3576 19.335 6.598 4.2846 4.28455197427 179.5374 19.21 6.171 4.3222 4.3221680711 190.1954 19.3331 6.5846 4.2856 4.2855508887 176.7046 19.1762 6.0663 4.332 4.33197994395 135.2289 18.8317 5.436 4.6264 4.62640149952 133.7169 18.807 5.3466 4.6349 4.63494116312 135.2713 18.8323 5.4306 4.6269 4.62692217791 133.8615 18.8093 5.3454 4.635 4.63500171439 
m59 49.8649 18.1257 5.9994 6.0346 5.83066088704 50.0106 18.1176 5.6298 6.0538 5.85170686 48.0109 18.0179 5.5497 6.0503 5.85367733457 49.0216 18.0476 5.1902 6.0702 5.87610037161 94.5883 19.7587 9.2447 6.0471 5.95984463284 95.6561 19.7785 8.6787 6.0763 5.98171130564 90.9325 19.6715 8.7878 6.0726 5.98444140705 97.4858 19.8151 8.1302 6.1065 6.00344935876 
m60 137.6317 18.9264 6.3018 4.6046 4.60462373513 179.022 19.4262 7.2071 4.4621 4.46206826337 137.5014 18.9246 6.2841 4.6063 4.6062905947 174.1296 19.3708 7.05 4.4786 4.47861730758 119.6102 18.8912 6.8107 4.8329 4.83287215836 158.6972 19.4339 7.8485 4.6861 4.68605905749 111.0286 18.7417 6.4126 4.8771 4.87706144651 166.388 19.5238 7.9547 4.6661 4.6660529823 
m64 4.0297 13.4652 0.9099 7.7892 4.52210994891 4.6015 13.745 1.0472 7.7157 4.52607104179 3.7675 13.376 0.8489 7.8777 4.52245157243 5.2738 14.3373 1.5803 7.8132 4.52059753243 3.9135 13.6385 1.205 7.8942 5.07859408348 7.9087 14.7185 1.9245 7.2161 5.08209112053 4.2633 13.7756 1.3829 7.7789 5.07920939431 6.0798 14.4575 1.7872 7.5634 5.08760674571 
m77 192.0893 23.5134 0.01 10.1005 -99.9999 0.1816 16.3184 0.0134 18.0268 -99.9999 218.9997 23.5153 0.0149 9.8176 -99.9999 0.1662 16.3112 0.0134 18.2123 -99.9999 6.9318 13.0934 1.1356 6.136 -99.9999 1.1749 15.6094 0.1441 13.2085 -99.9999 8.0615 13.3424 1.0293 6.1035 -99.9999 1.2195 15.5902 0.1458 13.1068 -99.9999 
m81 30.9959 15.2211 1.6616 4.8263 2.87554150023 41.3391 16.0285 1.991 4.9178 2.89019535215 31.0117 15.223 1.6636 4.8264 2.87556635089 41.4766 16.0371 1.9953 4.918 2.89023663258 33.2248 15.5475 2.0722 4.891 3.47155497306 44.7026 16.3631 2.2792 5.014 3.50346130687 33.2337 15.5489 2.0743 4.8913 3.47163762356 45.0122 16.3788 2.2889 5.0126 3.50311238222 
m84 102.0292 19.0166 7.8448 5.2282 5.22820807958 109.8088 19.1621 8.0849 5.198 5.19803529523 101.6457 19.0088 7.7864 5.2325 5.23254480378 109.8954 19.1636 8.0427 5.2006 5.20061831699 130.0833 19.5717 7.9051 5.2518 5.25176358936 130.7558 19.5745 7.7064 5.2569 5.25688390273 129.8128 19.5673 7.8684 5.2544 5.2543980414 130.6563 19.5725 7.6621 5.2596 5.25961176425 
m87 206.4226 19.9072 10.0093 4.4585 4.45849415275 205.9158 19.8996 10.0054 4.4564 4.45637725706 202.9986 19.8729 9.9936 4.4613 4.46129599625 207.0587 19.9109 10.0078 4.4555 4.45552893828 87.0846 18.2566 5.8514 4.968 4.96796131113 87.6783 18.2672 5.6537 4.9821 4.98205268676 87.1191 18.2577 5.852 4.9682 4.96815236992 87.8489 18.2714 5.6377 4.9835 4.98351805521 
m89 29.0178 17.1449 4.6871 6.3599 6.03882834232 32.1279 17.3453 5.2159 6.2829 5.99885845612 28.982 17.1438 4.6117 6.37 6.0434535071 32.777 17.3848 5.117 6.289 5.99986884122 28.0853 17.1409 5.1682 6.3753 6.11736755365 28.7259 17.1864 5.1673 6.3719 6.11367162504 28.1937 17.1503 5.1041 6.3829 6.12173518998 32.9009 17.4559 5.6942 6.2954 6.0653496541 
m94 11.1425 13.675 0.9663 5.7628 4.5482101493 11.4559 13.7847 1.1282 5.7396 4.53368761747 11.352 13.7323 0.9447 5.79 4.55078244328 11.1332 13.7132 1.1294 5.7295 4.53728492003 8.3956 13.499 1.1086 6.137 4.85605088504 8.5852 13.5754 1.2598 6.1038 4.85173338098 8.3918 13.5019 1.1178 6.137 4.85696949911 8.4337 13.5689 1.2591 6.1363 4.85818182369 
m96 7.559 14.6191 1.4493 7.3559 5.40007059967 9.1952 14.9589 1.622 7.2147 5.41114303358 7.5337 14.6282 1.4819 7.3614 5.40098960331 9.7235 15.0869 1.744 7.1854 5.4130655384 5.2339 14.2621 1.223 7.8794 5.82097972991 7.8288 14.8655 1.5926 7.4797 5.83502571098 5.2523 14.2794 1.2676 7.8718 5.82199080215 6.421 14.6956 1.4896 7.7732 5.83916452635 
n0253 220.9605 16.3472 1.3504 1.7891 1.78913792631 237.2719 16.9818 2.1728 2.0324 2.03244031556 220.9523 16.3471 1.3504 1.7892 1.78915647231 237.2621 16.982 2.171 2.0331 2.03310290345 101.3612 16.2954 1.6357 3.3355 3.33549448535 102.2784 16.5071 2.0852 3.4059 3.40587345224 101.359 16.2955 1.636 3.3355 3.33549695205 102.3344 16.5074 2.0794 3.4064 3.40639774906 
