# galaxy   log_r_e_sph_maj [log(kpc)]   log_r_e_sph_eq [log(kpc)]   perr_log_r_e   merr_log_r_e   
ic1459     0.938819314266     0.896788539037     0.0661586628819     0.113928049325
ic2560     0.0820980698455     -0.0552816920801     0.324813281979     0.298095403867
ic4296     1.11398614711     1.12812949271     0.0661586628819     0.113928049325
m104     -0.294594818187     -0.044660441186     0.324813281979     0.298095403867
m105     0.45547163956     0.405255280686     0.324813281979     0.298095403867
m106     -0.272074898051     -0.536088044521     0.0661586628819     0.113928049325
m31     0.176629672236     -0.205711994285     0.0661586628819     0.113928049325
m49     1.19878569344     1.05079134816     0.0661586628819     0.113928049325
m59     0.617334716351     0.894714000408     0.0661586628819     0.113928049325
m64     -0.875049012069     -0.821356378889     0.0661586628819     0.113928049325
m81     -0.243115962506     -0.21306284138     0.415780714824     0.38899756588
m84     0.945516908856     1.05174541535     0.324813281979     0.298095403867
m87     1.18619250795     0.818812845389     0.324813281979     0.298095403867
m89     0.320889487351     0.308913209481     0.324813281979     0.298095403867
m94     -0.615900074241     -0.74711733183     0.0661586628819     0.113928049325
m96     -0.433095437253     -0.589754235308     0.0661586628819     0.113928049325
n0524     -0.167198668005     -0.1807456128     0.0661586628819     0.113928049325
n0821     0.616637166363     0.330415302929     0.415780714824     0.38899756588
n1023     -0.304653946473     -0.398049048762     0.0661586628819     0.113928049325
n1300     -0.0037022388473     -0.0877823676673     0.324813281979     0.298095403867
n1316     0.287447484812     0.155588106931     0.324813281979     0.298095403867
n1332     0.574359366993     0.288758779019     0.415780714824     0.38899756588
n1374     0.377909460527     0.364072371913     0.0661586628819     0.113928049325
n1399     1.58101516443     1.50240416931     0.0661586628819     0.113928049325
n2273     -0.654782234977     -0.586555839349     0.324813281979     0.298095403867
n2549     -0.441717860149     -0.73310229352     0.0661586628819     0.113928049325
n2778     -0.59560718053     -0.620432941229     0.324813281979     0.298095403867
n2787     -0.772292641104     -0.929794167569     0.324813281979     0.298095403867
n2974     -0.0760649704841     -0.154455261407     0.324813281979     0.298095403867
n3079     -0.165473517402     -0.361736265012     0.324813281979     0.298095403867
n3091     1.39730513881     1.10465658569     0.0661586628819     0.113928049325
n3115     0.298051727753     0.195837735264     0.0661586628819     0.113928049325
n3227     -0.100087851294     -0.343510883011     0.324813281979     0.298095403867
n3245     -0.35882290353     -0.617851651471     0.0661586628819     0.113928049325
n3377     0.514217468558     0.685489085192     0.324813281979     0.298095403867
n3384     -0.523518183797     -0.509613508024     0.0661586628819     0.113928049325
n3393     -0.441605741654     -0.422835942349     0.324813281979     0.298095403867
n3414     0.521326266984     0.480936965933     0.0661586628819     0.113928049325
n3489     -0.913497921012     -1.00349912682     0.324813281979     0.298095403867
n3585     0.996657298297     0.911597124332     0.324813281979     0.298095403867
n3607     0.872526944036     0.848448193545     0.324813281979     0.298095403867
n3608     0.710260534846     0.671095186879     0.324813281979     0.298095403867
n3842     1.68151748572     1.54568256558     0.0661586628819     0.113928049325
n3998     -0.41367048087     -0.492321156219     0.415780714824     0.38899756588
n4026     -0.658329232068     -0.391412730921     0.415780714824     0.38899756588
n4151     -0.132678700917     -0.182242316729     0.324813281979     0.298095403867
n4261     0.895338323245     0.848929793781     0.324813281979     0.298095403867
n4291     0.266823049315     0.278390322519     0.324813281979     0.298095403867
n4388     -0.424297655774     -0.457687182503     0.415780714824     0.38899756588
n4459     0.1459641371     -0.00520060308834     0.324813281979     0.298095403867
n4473     0.532081821695     0.437389162963     0.324813281979     0.298095403867
n4564     -0.450303905482     -0.370728356355     0.0661586628819     0.113928049325
n4596     -0.263991625181     -0.129212861423     0.0661586628819     0.113928049325
n4697     1.12139809705     1.0973264066     0.415780714824     0.38899756588
n4889     1.7773403696     1.4834830284     0.0661586628819     0.113928049325
n4945     -0.592205139135     -0.758007318407     0.324813281979     0.298095403867
n5077     0.671434592838     0.661680343055     0.0661586628819     0.113928049325
n5128     0.05286711151     0.0491341641638     0.415780714824     0.38899756588
n5576     0.869131108019     0.773106848504     0.0661586628819     0.113928049325
n5845     -0.352245469792     -0.41547299333     0.415780714824     0.38899756588
n5846     1.09115159643     0.990663541974     0.324813281979     0.298095403867
n6251     1.32532487495     1.18430311025     0.0661586628819     0.113928049325
n7052     1.28157691238     1.07588362999     0.0661586628819     0.113928049325
n7619     1.19828016843     1.16087387238     0.324813281979     0.298095403867
n7768     1.70580570561     1.36228880278     0.324813281979     0.298095403867
ugc03789     -0.378136236499     -0.250346793364     0.415780714824     0.38899756588
