# galaxy    MassSph         +err_MassSph     -err_MassSph           fit      
ic1459    266637366238.0    29646277831.4    40313157418.1          S-bul + m-c
ic2560    10385035898.4    7324941303.36    4731607443.27	    S-bul + e-d + F-bar + G-n
ic4296    307619512978.0    34202908905.1    46509287226.2	    S-bul + m-c
m104      34248062526.5    24156396782.2    15604027675.3	    S-bul + e-d + F-bar + m-c
m105      55633252302.2    39240144339.8    25347501276.0	    S-bul + m-c
m106      3663737833.54    407355470.267    553924013.376	    S-bul + e-d
m31   	  14847389043.0    1650818213.71    2244790894.04	    S-bul + e-d + F-bar
m49   	  385085257421.0    42815996465.1    58221406927.6	    S-bul + m-c
m59   	  135412889264.0    15055984814.6    20473203731.3	    S-bul + m-n + e-id
m64   	  6428866144.77    714798359.128    971986396.998	    S-bul + e-d + F-bar + S-id
m81   	  19383642423.6    16223533177.8    10749973521.1	    S-bul + e-d
m84   	  277911207988.0    196020823228.0    126621299449.0	    S-bul + m-c
m87   	  255322563805.0    180088235764.0    116329510572.0	    S-bul + m-c
m89   	  62712272252.0    44233233061.4    28572828931.4	    S-bul + e-halo
m94   	  9999906738.95    1111847216.52    1511895426.45	    S-bul + e-d + F-bar
m96   	  9743004845.26    1083283384.59    1473054184.4	    S-bul + e-d + F-bar + S-id
n0524     22275724706.4    2476743349.44    3367888039.71	    S-bul + e-d + G-r
n0821     47303330012.2    39591482710.1    26233952008.6	    S-bul + e-id + PSF-n
n1023     15002580216.8    1668073262.09    2268254395.45	    S-bul + e-d + F-bar
n1300     6958519714.11    4908095548.51    3170425600.4	    S-bul + e-(d+bar) + S-id
n1316     95105704148.4    67081491803.7    43331853837.3	    S-bul + e-d + F-bar + 2 G-r + G-n
n1332     81730764727.2    68406223361.9    45327061729.6	    S-bul + S-id + m-c
n1374     35643447976.6    3963043801.75    5388966855.92	    S-bul + G-n
n1399     332746530182.0    36996675373.8    50308264894.9	    S-bul + m-c + e-id
n2273     20200636475.0    14248239285.6    9203770005.12	    S-bul + e-d + F-bar
n2549     3486825575.9    387685346.699    527176480.605	    S-bul + e-d + F-bar + F-id
n2778     2537452507.46    1789756998.34    1156108586.3	    S-bul + e-d + F-bar + PSF-n
n2787     1200329682.67    846635924.638    546891596.376	    S-bul + e-d + F-bar + F-id + PSF-n
n2974     18038174013.9    12722976325.2    8218513567.21	    S-bul + e-d + F-bar + G-n + G-r
n3079     23519514315.6    16589163824.8    10715909900.2	    S-bul + F-(bar+d) + G-n
n3091     303876094850.0    33786694120.8    45943316273.2	    S-bul + m-c
n3115     48779812270.9    5423620430.82    7375066288.17	    S-bul + e-d + G-r
