# galaxy    logMassSph     +err_logMassSph     -err_logMassSph     average_err_logMassSph     logMassBH     +err_logMassBH    -err_logMassBH    average_err_logMassBH     core   type   
ic1459    11.4259210108    0.0457866666668    0.07119    0.0584883333334    9.38021124171    0.151267675331    0.234083206033    0.192675440682    1    E
ic2560    10.0164080021    0.23181    0.26409610163    0.247953050815    6.64345267413    0.301029995664    0.301029995664    0.301029995664    0    Sp
ic4296    11.4880138803    0.0457866666668    0.07119    0.0584883333334    9.04139268516    0.0725506671486    0.0871501757189    0.0798504214338    1    E
m104    10.5346360077    0.23181    0.26409610163    0.247953050815    8.80617998046    0.0263289387223    0.0280287236002    0.0271788311613    1    S0/Sp
m105    10.7453344494    0.23181    0.26409610163    0.247953050815    8.60205999133    0.0969100130081    0.124938736608    0.110924374808    1    E
m106    9.56392438925    0.0457866666668    0.07119    0.0584883333334    7.5910645911    0.010995384457    0.0112810105734    0.0111381975152    0    Sp
m31    10.1716500884    0.0457866666668    0.07119    0.0584883333334    8.14612802828    0.215599798731    0.104735357244    0.160167577987    0    Sp
m49    11.5855568924    0.0457866666668    0.07119    0.0584883333334    9.39794000867    0.0492180226702    0.0177287669604    0.0334733948153    1    E
m59    11.1316600046    0.0457866666668    0.07119    0.0584883333334    8.59106461765    0.0424038481671    0.046996562202    0.0447002051846    0    E
m64    9.80813438342    0.0457866666668    0.07119    0.0584883333334    6.20412000328    0.0969100130078    0.124938736608    0.110924374808    0    Sp
m81    10.2874353896    0.264102136714    0.35124    0.307671068357    7.86923172533    0.108491881323    0.0698911688893    0.0891915251062    0    Sp
m84    11.443906062    0.23181    0.26409610163    0.247953050815    8.95424250944    0.0413926841123    0.040428657687    0.0409106708996    1    E
m87    11.4070891967    0.23181    0.26409610163    0.247953050815    9.76342799356    0.0254471222125    0.0270314912863    0.0262393067494    1    E
m89    10.7973525368    0.23181    0.26409610163    0.247953050815    8.67209784031    0.0439054873937    0.0488485696359    0.0463770285148    1    E
m94    9.99999594971    0.0457866666668    0.07119    0.0584883333334    6.77815124068    0.0910804737198    0.115393425736    0.103236949728    0    Sp
m96    9.98869291853    0.0457866666668    0.07119    0.0584883333334    6.86332285374    0.081159811463    0.0998948656976    0.0905273385803    0    Sp
n0524    10.347831842    0.0457866666668    0.07119    0.0584883333334    8.91907810236    0.122314592215    0.0739800475502    0.0981473198826    1    S0
n0821    10.6748917148    0.264102136714    0.35124    0.307671068357    7.5910645911    0.221848749616    0.113943362263    0.16789605594    0    E
n1023    10.1761659576    0.0457866666668    0.07119    0.0584883333334    7.62324927684    0.0395085416186    0.0434656941865    0.0414871179026    0    S0
n1300    9.84251686197    0.23181    0.26409610163    0.247953050815    7.86332287147    0.28896547802    0.283539246241    0.28625236213    0    Sp
n1316    10.9782065654    0.23181    0.26409610163    0.247953050815    8.17609125906    0.176091259056    0.330993226437    0.253542242747    0    merger
n1332    10.9123855625    0.264102136714    0.35124    0.307671068357    9.16136800223    0.0561159419789    0.0644579892269    0.0602869656029    0    E/S0
n1374    10.551979709    0.0457866666668    0.07119    0.0584883333334    8.76342799356    0.0359125558906    0.0391521239621    0.0375323399264    0    E
n1399    11.5221135354    0.0457866666668    0.07119    0.0584883333334    8.67209784031    0.0521780156139    0.0593140063206    0.0557460109673    1    E
n2273    10.3053650533    0.23181    0.26409610163    0.247953050815    6.91907807585    0.0204411619509    0.021451002967    0.020946082459    0    Sp
n2549    9.54243022288    0.0457866666668    0.07119    0.0584883333334    7.14612803753    0.0579919455333    1.14612780457    0.602059875052    0    S0
n2778    9.40439792247    0.23181    0.26409610163    0.247953050815    7.17609127631    0.204119982656    0.47712123315    0.340620607903    0    S0
n2787    9.0793005458    0.23181    0.26409610163    0.247953050815    7.6020599978    0.0413926836874    0.0579919469778    0.0496923153326    0    S0
n2974    10.2561925722    0.23181    0.26409610163    0.247953050815    8.23044893356    0.0483046789735    0.0543576615613    0.0513311702674    0    Sp
n3079    10.3714283492    0.23181    0.26409610163    0.247953050815    6.38021124549    0.301029995664    0.301029995664    0.301029995664    0    Sp
n3091    11.4826965366    0.0457866666668    0.07119    0.0584883333334    9.55630250077    0.0118992232997    0.024823583725    0.0183614035124    1    E
n3115    10.6882401246    0.0457866666668    0.07119    0.0584883333334    8.94448268156    0.329675172107    0.159152836368    0.244414004237    0    E/S0
n3227    9.82742275696    0.23181    0.26409610163    0.247953050815    7.14612803753    0.234083207959    0.243038040019    0.238560623989    0    Sp
n3245    10.0079669014    0.0457866666668    0.07119    0.0584883333334    8.30102999566    0.0969100130081    0.124938736608    0.110924374808    0    S0
n3377    10.6009529959    0.23181    0.26409610163    0.247953050815    7.88649071441    0.021994293758    0.0352323765422    0.0286133351501    0    E
n3384    10.080576887    0.0457866666668    0.07119    0.0584883333334    7.23044892595    0.024823582932    0.0543576604194    0.0395906216757    0    S0
n3393    10.4401328172    0.23181    0.26409610163    0.247953050815    7.53147892161    0.024823582932    0.0263289378302    0.0255762603811    0    Sp
n3414    10.8119321687    0.0457866666668    0.07119    0.0584883333334    8.38021125897    0.0511525224473    0.0579919469776    0.0545722347125    0    E
n3489    9.62581172348    0.23181    0.26409610163    0.247953050815    6.76342798107    0.056115945994    0.0644579945268    0.0602869702604    0    S0/Sp
n3585    11.2459073452    0.23181    0.26409610163    0.247953050815    8.49136168047    0.161850821797    0.0934216925106    0.127636257154    0    E
n3607    11.1691213536    0.23181    0.26409610163    0.247953050815    8.11394333638    0.141329157221    0.21085337527    0.176091266246    0    E
n3608    10.8940897261    0.23181    0.26409610163    0.247953050815    8.30102999566    0.19033170151    0.154901967382    0.172616834446    1    E
n3842exp    11.7880959687    0.0457866666668    0.07119    0.0584883333334    9.98677173427    0.11703198669    0.135513385547    0.126272686118    1    E
n3998    9.89170217801    0.264102136714    0.35124    0.307671068357    8.90848503933    0.0958363508539    0.116093321443    0.105964836148    0    S0
n4026    9.700270657    0.264102136714    0.35124    0.307671068357    8.2552724936    0.124938743799    0.0791812517999    0.102059997799    0    S0
n4151    10.4518386781    0.23181    0.26409610163    0.247953050815    7.81291334071    0.0444191415169    0.0494853652256    0.0469522533713    0    Sp
n4261    11.2507476455    0.23181    0.26409610163    0.247953050815    8.69897000434    0.0791812460476    0.0969100130081    0.0880456295278    1    E
n4291    10.5964395637    0.23181    0.26409610163    0.247953050815    8.5185139336    0.104735349399    0.615423972495    0.360079660947    1    E
n4388    9.66643057232    0.264102136714    0.35124    0.307671068357    6.87506128065    0.0114294618683    0.0117384033636    0.0115839326159    0    Sp
n4459    10.4684193048    0.23181    0.26409610163    0.247953050815    7.83250891727    0.0759761028828    0.0921462183673    0.084061160625    0    S0
n4473    10.5878428616    0.23181    0.26409610163    0.247953050815    8.0791812633    0.124938733912    0.602059905045    0.363499319479    0    E
n4564    9.91398571156    0.0457866666668    0.07119    0.0584883333334    7.77815126764    0.0211892977859    0.0705810742857    0.0458851860358    0    S0
n4596    10.1910461758    0.0457866666668    0.07119    0.0584883333334    7.89762710309    0.170558764855    0.234869263527    0.202714014191    0    S0
n4697    11.0014913301    0.264102136714    0.35124    0.307671068357    8.2552724936    0.0457574923582    0.0248235847824    0.0352905385703    0    E
n4889    11.9576336618    0.0457866666668    0.07119    0.0584883333334    10.3222192947    0.245982429333    0.623249290398    0.434615859865    1    E
n4945    9.55892719324    0.23181    0.26409610163    0.247953050815    6.14612804908    0.301029995664    0.301029995665    0.301029995665    0    Sp
n5077    11.180389171    0.0457866666668    0.07119    0.0584883333334    8.86923172533    0.213553641566    0.225779039429    0.219666340497    1    E
n5128    10.6956567851    0.264102136714    0.35124    0.307671068357    7.65321250227    0.13917918013    0.109144474561    0.124161827345    0    merger
n5576    10.850664989    0.0457866666668    0.07119    0.0584883333334    8.20411998913    0.07463362    0.124938736608    0.0997861783042    0    E
n5845    10.1569010816    0.264102136714    0.35124    0.307671068357    8.41497333204    0.0621479097357    0.373580684536    0.217864297136    0    S0
n5846    11.345810732    0.23181    0.26409610163    0.247953050815    9.04139268516    0.0377885608894    0.0413926851582    0.0395906230238    1    E
n6251    11.6604140571    0.0457866666668    0.07119    0.0584883333334    8.77085201866    0.126775077871    0.179787401016    0.153281239443    1    E
n7052    11.5127395853    0.0457866666668    0.07119    0.0584883333334    8.56820172966    0.231138816503    0.225779039429    0.228458927966    1    E
n7619    11.5138593201    0.23181    0.26409610163    0.247953050815    9.39794000867    0.120573931206    0.0555173278498    0.0880456295278    1    E
n7768    11.7579410117    0.23181    0.26409610163    0.247953050815    9.11394335231    0.141329152796    0.159700842868    0.150514997832    1    E
ugc03789    10.2723034528    0.264102136714    0.35124    0.307671068357    7.03342376675    0.0196546870686    0.0205865297638    0.0201206084162    0    Sp
