# galaxy   type      core distance mass_BH         merr_mass_BH    perr_mass_BH    mag_sph merr_mag_sph perr_mag_sph mag_tot err_mag_tot color mass_sph         merr_mass_sph    perr_mass_sph   
  ic1459   E         yes  28.4     2.4E9           1.0E9           1.0E9           -26.15  0.11         0.18         -26.15  0.25        -0.12 2.66637366238E11 4.03131574181E10 2.96462778314E10
  ic2560   Sp-bar    no?  40.7     4399999.97616   2199999.98808   4399999.97616   -22.27  0.58         0.66         -24.76  0.25        -0.08 1.03850358984E10 4.73160744327E9  7.32494130336E9 
  ic4296   E         yes? 40.7     1.1E9           2.0E8           2.0E8           -26.35  0.11         0.18         -26.35  0.25        -0.12 3.07619512978E11 4.65092872262E10 3.42029089051E10
  m104     S0/Sp     yes  9.5      6.40000009537E8 4.0000000596E7  4.0000000596E7  -23.91  0.58         0.66         -25.21  0.25        -0.12 3.42480625265E10 1.56040276753E10 2.41563967822E10
  m105     E         yes  10.3     4.0E8           1.0E8           1.0E8           -24.29  0.58         0.66         -24.29  0.25        -0.1  5.56332523022E10 2.5347501276E10  3.92401443398E10
  m106     Sp-bar    no   7.2      3.89999985695E7 999999.977648   999999.977648   -21.11  0.11         0.18         -24.04  0.25        -0.08 3.66373783354E9  5.53924013376E8  4.07355470267E8 
  m31      Sp-bar    no   0.7      1.39999997616E8 3.00000011921E7 8.99999976158E7 -22.74  0.11         0.18         -24.67  0.25        -0.09 1.4847389043E10  2.24479089404E9  1.65081821371E9 
  m49      E         yes  17.1     2.5E9           1.0E8           3.0E8           -26.54  0.11         0.18         -26.54  0.25        -0.12 3.85085257421E11 5.82214069276E10 4.28159964651E10
  m59      E         no   17.8     3.90000009537E8 4.0000000596E7  4.0000000596E7  -25.18  0.11         0.18         -25.27  0.25        -0.09 1.35412889264E11 2.04732037313E10 1.50559848146E10
  m64      Sp        no?  7.3      1600000.076     400000.018999   400000.018999   -21.54  0.11         0.18         -24.24  0.25        -0.06 6.42886614477E9  9.71986396998E8  7.14798359128E8 
  m81      Sp-bar    no   3.8      7.40000009537E7 1.09999999404E7 2.09999993443E7 -23.01  0.66         0.88         -24.43  0.25        -0.09 1.93836424236E10 1.07499735211E10 1.62235331778E10
  m84      E         yes  17.9     9.0E8           8.00000011921E7 8.99999976158E7 -26.01  0.58         0.66         -26.01  0.25        -0.1  2.77911207988E11 1.26621299449E11 1.96020823228E11
  m87      E         yes  15.6     5.8E9           3.5E8           3.5E8           -26.0   0.58         0.66         -26.0   0.25        -0.11 2.55322563805E11 1.16329510572E11 1.80088235764E11
  m89      E         yes  14.9     4.69999980927E8 5.0E7           5.0E7           -24.48  0.58         0.66         -24.74  0.25        -0.11 6.2712272252E10  2.85728289314E10 4.42332330614E10
  m94      Sp-bar    no?  4.4      5999999.86589   1400000.04321   1400000.04321   -22.08  0.11         0.18         -23.36  <=          -0.07 9.99990673895E9  1.51189542645E9  1.11184721652E9 
  m96      Sp-bar    no   10.1     7299999.89271   1499999.96647   1499999.96647   -22.15  0.11         0.18         -24.2   0.25        -0.08 9.74300484526E9  1.4730541844E9   1.08328338459E9 
  n0524    S0        yes  23.3     8.30000019073E8 1.29999995232E8 2.70000004768E8 -23.19  0.11         0.18         -24.92  0.25        -0.09 2.22757247064E10 3.36788803971E9  2.47674334944E9 
  n0821    E         no   23.4     3.89999985695E7 9000000.35763   2.59999990463E7 -24.0   0.66         0.88         -24.26  0.25        -0.09 4.73033300122E10 2.62339520086E10 3.95914827101E10
  n1023    S0-bar    no   11.1     4.19999986887E7 3999999.91059   3999999.91059   -22.82  0.11         0.18         -24.2   0.25        -0.1  1.50025802168E10 2.26825439545E9  1.66807326209E9 
  n1300    Sp-bar    no   20.7     7.30000019073E7 3.4999999404E7  6.89999997616E7 -22.06  0.58         0.66         -24.16  0.25        -0.1  6.95851971411E9  3.1704256004E9   4.90809554851E9 
  n1316    merger    no   18.6     1.5E8           8.00000011921E7 7.5E7           -24.89  0.58         0.66         -26.48  0.25        -0.1  9.51057041484E10 4.33318538373E10 6.70814918037E10
  n1332    E/S0      no   22.3     1.45E9          2.0E8           2.0E8           -24.89  0.66         0.88         -24.95  0.25        -0.12 8.17307647272E10 4.53270617296E10 6.84062233619E10
  n1374    E         no?  19.2     5.8E8           5.0E7           5.0E7           -23.68  0.11         0.18         -23.7   0.25        -0.09 3.56434479766E10 5.38896685592E9  3.96304380175E9 
