# galaxy   distance [Mpc]   log_r_e [log(kpc)]   perr_log_r_e   merr_log_r_e   mu_e [mag/arcsec^2]   perr_mu_e   merr_mu_e   log_n   perr_log_n   merr_log_n 
ic1459     28.4     0.896788539037     0.0661586628819     0.113928049325     -13.6783917002     0.565617107022     0.338344889058     0.846330925555     0.0560640025682     0.078207140205
ic2560     40.7     -0.0552816920801     0.324813281979     0.298095403867     -16.5717720461     1.58716133752     0.835875363549     -0.234405944681     0.16658159909     0.206353027617
ic4296     40.7     1.12812949271     0.0661586628819     0.113928049325     -13.5680720461     0.565617107022     0.338344889058     0.791416936213     0.0560640025682     0.078207140205
m104     9.5     -0.044660441186     0.324813281979     0.298095403867     -14.1100180264     1.58716133752     0.835875363549     0.562602114778     0.16658159909     0.206353027617
m105     10.3     0.405255280686     0.324813281979     0.298095403867     -12.2268861235     1.58716133752     0.835875363549     0.72069666875     0.16658159909     0.206353027617
m106     7.2     -0.536088044521     0.0661586628819     0.113928049325     -13.7200624822     0.565617107022     0.338344889058     0.0836817472743     0.0560640025682     0.078207140205
m31     0.74     -0.205711994285     0.0661586628819     0.113928049325     -8.71115859865     0.565617107022     0.338344889058     0.126845440649     0.0560640025682     0.078207140205
m49     17.14     1.05079134816     0.0661586628819     0.113928049325     -12.3377540879     0.565617107022     0.338344889058     0.734847815278     0.0560640025682     0.078207140205
m59     17.8     0.894714000408     0.0661586628819     0.113928049325     -11.5806000115     0.565617107022     0.338344889058     0.943880164329     0.0560640025682     0.078207140205
m64     7.3     -0.821356378889     0.0661586628819     0.113928049325     -15.5410143006     0.565617107022     0.338344889058     0.140790776625     0.0560640025682     0.078207140205
m81     3.8     -0.21306284138     0.415780714824     0.38899756588     -12.3500179831     1.73878794265     1.0617725411     0.316871567348     0.246991455494     0.245264323949
m84     17.9     1.05174541535     0.324813281979     0.298095403867     -11.6969651549     1.58716133752     0.835875363549     0.895886429714     0.16658159909     0.206353027617
m87     15.6     0.818812845389     0.324813281979     0.298095403867     -12.7079229918     1.58716133752     0.835875363549     0.767304317453     0.16658159909     0.206353027617
m89     14.9     0.308913209481     0.324813281979     0.298095403867     -13.7156313421     1.58716133752     0.835875363549     0.707919174534     0.16658159909     0.206353027617
m94     4.4     -0.74711733183     0.0661586628819     0.113928049325     -14.7153633824     0.565617107022     0.338344889058     0.0483641052799     0.0560640025682     0.078207140205
m96     10.1     -0.589754235308     0.0661586628819     0.113928049325     -15.7422068689     0.565617107022     0.338344889058     0.102982230518     0.0560640025682     0.078207140205
n0524     23.3     -0.1807456128     0.0661586628819     0.113928049325     -16.6311796051     0.565617107022     0.338344889058     0.0314892557097     0.0560640025682     0.078207140205
n0821     23.4     0.330415302929     0.415780714824     0.38899756588     -14.0121792871     1.73878794265     1.0617725411     0.782479790683     0.246991455494     0.245264323949
n1023     11.1     -0.398049048762     0.0661586628819     0.113928049325     -15.4355148939     0.565617107022     0.338344889058     0.299877587671     0.0560640025682     0.078207140205
n1300     20.7     -0.0877823676673     0.324813281979     0.298095403867     -14.1723517273     1.58716133752     0.835875363549     0.555698894719     0.16658159909     0.206353027617
n1316     18.6     0.155588106931     0.324813281979     0.298095403867     -15.9189647211     1.58716133752     0.835875363549     0.248095931094     0.16658159909     0.206353027617
n1332     22.3     0.288758779019     0.415780714824     0.38899756588     -15.2723243152     1.73878794265     1.0617725411     0.565056398812     0.246991455494     0.245264323949
n1374     19.23     0.364072371913     0.0661586628819     0.113928049325     -13.3126964212     0.565617107022     0.338344889058     0.610053003935     0.0560640025682     0.078207140205
n1399     19.4     1.50240416931     0.0661586628819     0.113928049325     -9.90820864965     0.565617107022     0.338344889058     1.00021275218     0.0560640025682     0.078207140205
n2273     28.5     -0.586555839349     0.324813281979     0.298095403867     -18.4427243     1.58716133752     0.835875363549     0.438304964532     0.16658159909     0.206353027617
n2549     12.3     -0.73310229352     0.0661586628819     0.113928049325     -15.9071255572     0.565617107022     0.338344889058     0.170965406311     0.0560640025682     0.078207140205
n2778     22.3     -0.620432941229     0.324813281979     0.298095403867     -16.2776243152     1.58716133752     0.835875363549     0.0923696996291     0.16658159909     0.206353027617
n2787     7.3     -0.929794167569     0.324813281979     0.298095403867     -14.6962143006     1.58716133752     0.835875363549     0.103872108403     0.16658159909     0.206353027617
n2974     20.9     -0.154455261407     0.324813281979     0.298095403867     -15.9733314306     1.58716133752     0.835875363549     0.078420564914     0.16658159909     0.206353027617
n3079     20.7     -0.361736265012     0.324813281979     0.298095403867     -17.1015517273     1.58716133752     0.835875363549     0.0323366598457     0.16658159909     0.206353027617
n3091     51.25     1.10465658569     0.0661586628819     0.113928049325     -14.0822693486     0.565617107022     0.338344889058     0.818997433624     0.0560640025682     0.078207140205
n3115     9.4     0.195837735264     0.0661586628819     0.113928049325     -13.016539268     0.565617107022     0.338344889058     0.70703336305     0.0560640025682     0.078207140205
n3227     20.3     -0.343510883011     0.324813281979     0.298095403867     -15.7108801896     1.58716133752     0.835875363549     0.0402462150577     0.16658159909     0.206353027617
n3245     20.3     -0.617851651471     0.0661586628819     0.113928049325     -17.5381801896     0.565617107022     0.338344889058     0.228579994205     0.0560640025682     0.078207140205
n3377     10.9     0.685489085192     0.324813281979     0.298095403867     -9.8538324897     1.58716133752     0.835875363549     0.962497189815     0.16658159909     0.206353027617
n3384     11.3     -0.509613508024     0.0661586628819     0.113928049325     -15.7009922174     0.565617107022     0.338344889058     0.25054197801     0.0560640025682     0.078207140205
